_ROW,_FIVETRAN_SYNCED,SURVEY_ID,GROUP_NAME,FILTER_ID,CRITERIA,NAME,COUNT,SURVEY_LABEL,READ_ONLY,ID
493,2025-11-04 14:04:30,373075,Delivery Category,21583703,"(substring(Q256,2,1)='2')","Groceries (e.g., dairy, eggs, produce, meat, bread, snacks, pasta, etc.)",3550,HISPANIC,FALSE,21583703
594,2025-11-04 14:04:30,373075,Site All Hits,25000292,q4 in (select bannerid from adServerBanners where campaignid=78558 and site=22782) or (Q2 like '%12593783%' or Q2 like '%12595490%'),Amazon CTV  (DE),0,HISPANIC,FALSE,25000292
117,2025-11-04 14:04:30,374821,Site All Hits,23589201,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=9683) or (Q2 like '%12571414%' or Q2 like '%12571415%'),Realm,155,CORE,FALSE,23589201
197,2025-11-04 14:04:30,374821,Creative,24968942,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727433)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727433)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727433)
		)
	)
))",Placement Location - Stories,131,CORE,FALSE,24968942
253,2025-11-04 14:04:30,374821,Creative,24968998,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727390)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727390)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727390)
		)
	)
))",Placement Publisher - The Trade Desk,7125,CORE,FALSE,24968998
114,2025-11-04 14:04:30,374821,Site All Hits,23150189,"q4 in (select bannerid from adServerBanners where campaignid=79821 and site=26092) or ID IN (select id from answers374821 cross apply [SQL#].[String_Split4k](Q2, ',', 2) SplitTable cross apply [SQL#].[String_Split4k](SplitTable.SplitVal, '-', 2) bannerid where bannerid.SplitNum = 1 and bannerid.SplitVal in ( select value from dbo.surveyfilterelements WHERE surveyfilterelements.filterid=23150189 and type='in-clause' and surveyfilterelements.question='Q2' ) )",iHeart Podcast (US),868,CORE,FALSE,23150189
298,2025-11-04 14:04:30,374821,Creative,24969044,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727273)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727273)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727273)
		)
	)
))",Size/Length - 160x600,0,CORE,FALSE,24969044
490,2025-11-04 14:04:30,373075,DashPass Use,21594965,(Q194_1 in (2)),Heard of it but haven't used it,1339,HISPANIC,TRUE,21594965
61,2025-11-04 14:04:30,374821,Ethnicity,22228341,"(substring(Q239,4,1)='2')",Native Hawaiian or Other Pacific Islander,223,CORE,FALSE,22228341
538,2025-11-04 14:04:30,373075,Frequency,21361303,(Q3= 5),5,121,HISPANIC,FALSE,21361303
